use_dd_vsl,,final_val_loss,wall_time_s,mean_tps
False,mean,3.7694,1682.1985,124667.70000000001
False,std,0.0011313708498983514,0.27365032431915404,20.364675298174628
False,stderr,0.0007999999999999118,0.1934999999999718,14.400000000001455
False,ci95,0.0015679999999998271,0.37925999999994475,28.224000000002853
False,n_runs,2.0,2.0,2.0
True,mean,3.8677,1610.2575000000002,130262.4
True,std,0.010889444430272888,31.27886846578686,2530.8765912228887
True,stderr,0.007700000000000039,22.11749999999995,1789.5999999999983
True,ci95,0.015092000000000078,43.3502999999999,3507.615999999997
True,n_runs,2.0,2.0,2.0
